# dt controlx controly u_esc u_steer dw wperiod gx gy gz ax ay az
0.010 2068 0 8 0 0 0 -0.017044 -0.001065 0.005859 -0.006348 0.023926 1.011230
0.010 2068 0 8 0 0 0 -0.018109 -0.000533 0.005326 -0.006836 0.023926 1.011230
0.010 2307 0 9 0 0 0 -0.018109 -0.000533 0.005326 -0.007324 0.023926 1.011230
0.010 3063 0 11 0 0 0 -0.017577 -0.000533 0.004794 -0.006348 0.024414 1.010742
0.010 3063 0 11 0 0 0 -0.018642 0.000000 0.005326 -0.005859 0.024414 1.010742
0.010 3182 0 12 0 0 0 -0.017577 -0.000533 0.006392 -0.005859 0.024414 1.011230
0.010 3182 0 12 0 0 0 -0.019175 -0.000533 0.005859 -0.005859 0.024414 1.010742
0.010 3381 0 13 0 0 0 -0.018109 -0.001598 0.005859 -0.006348 0.023926 1.011719
0.010 3818 0 14 0 0 0 -0.018642 -0.003728 0.004261 -0.006836 0.024414 1.012695
0.010 3778 0 14 0 0 0 -0.016512 -0.011718 0.005326 -0.007812 0.025391 1.014648
0.010 3778 0 14 0 0 0 -0.017044 -0.012251 0.003196 -0.009766 0.022949 1.014648
0.010 3778 0 14 0 1 0 -0.025034 0.004261 0.005859 -0.003906 0.024902 1.003906
0.010 3778 0 14 0 0 0 -0.016512 -0.004261 0.006924 0.003906 0.024902 1.015137
0.010 3778 0 14 0 1 14815 -0.004261 -0.014914 0.007457 0.000977 0.026367 1.008789
0.010 3778 0 14 0 0 14815 -0.029295 0.010120 0.007457 -0.004883 0.027344 1.007324
0.010 3778 0 14 0 1 16323 -0.014914 0.003196 0.010120 -0.008301 0.024902 1.011719
0.010 3778 0 14 0 1 14794 -0.015979 0.002663 0.007457 -0.011230 0.026855 1.014648
0.010 3778 0 14 0 0 14794 -0.028230 0.002131 0.007457 -0.007812 0.022949 1.010254
0.010 3778 0 14 0 1 13334 -0.017577 0.000000 0.004794 -0.005859 0.022461 1.009766
0.010 3778 0 14 0 1 12532 -0.016512 -0.000533 0.004261 -0.000977 0.021973 1.011230
0.010 3778 0 14 0 1 11412 -0.023968 0.002131 0.002131 -0.003418 0.024414 1.011230
0.010 3778 0 14 0 1 10962 -0.015446 -0.001065 0.005326 -0.007812 0.023926 1.011719
0.010 3778 0 14 0 1 10584 -0.020240 -0.001065 0.006392 -0.005371 0.027832 1.011230
0.010 3858 0 15 0 1 9790 -0.024501 -0.002131 0.005326 -0.007324 0.024902 1.015625
0.010 3858 0 15 0 1 9669 -0.010120 -0.004794 0.003196 -0.007812 0.025391 1.011230
0.010 3858 0 15 0 1 9578 -0.028762 0.001065 0.002131 -0.003906 0.020508 1.010742
0.010 3858 0 15 0 1 9086 -0.018642 0.001065 0.002663 -0.003906 0.024414 1.013184
0.010 3858 0 15 0 1 8915 -0.017577 -0.004794 0.006924 -0.005859 0.025879 1.010742
0.010 3858 0 15 0 2 8329 -0.022371 0.000533 0.005859 -0.008301 0.024414 1.009766
0.010 3858 0 15 0 1 8210 -0.023436 0.002131 0.002131 -0.009277 0.022461 1.012695
0.010 3858 0 15 0 1 8231 -0.014381 -0.003196 0.001065 -0.007324 0.023438 1.010254
0.010 3858 0 15 0 1 7811 -0.026099 0.002131 0.006392 -0.007324 0.023438 1.011719
0.010 3858 0 15 0 2 7724 -0.010120 -0.000533 0.009055 -0.004883 0.022949 1.009277
0.010 3858 0 15 0 1 7410 -0.020773 0.002131 0.006924 -0.006836 0.023438 1.011230
0.010 3937 0 15 0 1 7347 -0.019707 -0.003196 0.007457 -0.006836 0.022949 1.010742
0.010 3937 0 15 0 2 7039 -0.017044 -0.000533 0.006392 -0.005859 0.023926 1.011719
0.010 3937 0 15 0 1 7019 -0.020773 0.002663 0.010120 -0.006836 0.023926 1.008789
0.010 3937 0 15 0 2 6820 -0.028230 0.004794 0.006392 -0.005859 0.021973 1.008789
0.010 4017 0 15 0 1 6758 -0.007989 -0.000533 0.003728 -0.005371 0.020996 1.010742
0.010 4096 0 16 0 2 6637 -0.018109 0.000000 0.002663 -0.007324 0.023438 1.012207
0.010 4176 0 16 0 1 6621 -0.011185 -0.001598 0.003196 -0.005859 0.027344 1.013184
0.010 4176 0 16 0 2 6483 -0.019175 -0.003196 0.011185 -0.003906 0.027832 1.012207
0.010 4176 0 16 0 1 6452 -0.021305 -0.003196 0.009055 -0.006348 0.025391 1.012207
0.010 4256 0 16 0 2 6329 -0.026099 -0.002663 0.004261 -0.006348 0.022949 1.009766
0.010 4256 0 16 0 1 6250 -0.020773 -0.001065 0.004261 -0.006348 0.023438 1.012207
0.010 4256 0 16 0 2 6098 -0.019175 0.000000 0.004794 -0.006348 0.024902 1.011719
0.010 4256 0 16 0 2 6153 -0.019707 0.000000 0.005859 -0.006836 0.024414 1.010742
0.010 4335 0 16 0 1 5985 -0.014381 0.001065 0.009587 -0.007812 0.025391 1.012695
0.010 4415 0 17 0 2 5975 -0.018109 0.001598 0.006924 -0.006836 0.022461 1.011719
0.010 4415 0 17 0 2 5742 -0.006392 -0.002131 0.007457 -0.003906 0.025879 1.010254
0.010 4494 0 17 0 1 5848 -0.009587 -0.002663 0.003728 -0.001465 0.023438 1.012207
0.010 4494 0 17 0 2 5610 -0.010120 -0.000533 0.000000 -0.008301 0.023926 1.012207
0.010 4494 0 17 0 2 5559 -0.009587 -0.004261 0.000533 -0.006836 0.029785 1.011230
0.010 4693 0 18 0 2 5617 -0.027164 0.000000 0.011185 -0.008301 0.027832 1.013672
0.010 4892 0 19 0 2 5395 -0.019175 -0.003196 0.011185 -0.006836 0.028809 1.010254
0.010 4892 0 19 0 1 5552 -0.029827 -0.002663 0.008522 -0.004395 0.025391 1.011230
0.010 4892 0 19 0 2 5299 -0.019175 0.002663 0.004794 -0.006348 0.020508 1.009766
0.010 5329 0 20 0 2 5207 -0.019175 0.001065 0.004261 -0.005859 0.021484 1.013184
0.010 5846 0 22 0 2 5264 -0.026099 0.000000 0.004794 -0.005859 0.021484 1.013184
0.010 5846 0 22 0 2 4993 -0.009587 0.001598 0.007989 -0.008301 0.019531 1.011719
0.010 5846 0 22 0 2 4875 -0.019707 0.003728 0.006924 -0.006836 0.019531 1.011230
0.010 5846 0 22 0 2 4954 -0.014914 0.002131 0.001065 -0.005859 0.018555 1.011719
0.010 5846 0 22 0 2 4695 0.002131 -0.000533 -0.003728 -0.009277 0.031250 1.006836
0.010 5846 0 22 0 3 4563 -0.027697 0.000533 0.008522 -0.009766 0.030762 1.014648
0.010 5846 0 22 0 2 4444 -0.018642 -0.006392 0.013848 -0.010254 0.035645 1.012695
0.010 5926 0 23 0 2 4470 -0.035154 -0.004794 0.011718 -0.004395 0.028809 1.012695
0.010 5926 0 23 0 2 4238 -0.018642 -0.004261 0.009587 -0.004883 0.025391 1.012207
0.010 5926 0 23 0 3 4142 -0.023968 0.002131 0.005326 -0.002930 0.020508 1.010254
0.010 5926 0 23 0 2 4022 0.003196 0.006392 0.010120 -0.007812 0.020996 1.007812
0.010 5926 0 23 0 3 3934 0.001598 0.009055 0.003728 -0.002441 0.016602 1.009766
0.010 5926 0 23 0 2 4017 0.012251 -0.004261 -0.002663 -0.007812 0.023926 1.008301
0.010 5926 0 23 0 3 3940 -0.014381 0.000000 0.005859 -0.008789 0.029297 1.014648
0.010 5926 0 23 0 3 3850 -0.025566 -0.004261 0.010120 -0.014648 0.034668 1.013184
0.010 5926 0 23 0 2 3702 -0.043143 -0.004261 0.012783 -0.007324 0.032227 1.010254
0.010 5926 0 23 0 3 3638 -0.047404 0.000000 0.008522 -0.005859 0.027344 1.009766
0.010 5926 0 23 0 3 3629 -0.034621 0.007457 0.003728 -0.004883 0.017578 1.007812
0.010 5926 0 23 0 3 3566 -0.019175 0.008522 0.003728 -0.003418 0.008301 1.006836
0.010 5926 0 23 0 2 3481 0.026099 0.002131 -0.001065 -0.004883 0.020996 1.011230
0.010 5926 0 23 0 3 3463 -0.012783 0.002131 0.001598 -0.011719 0.021484 1.010254
0.010 5926 0 23 0 3 3434 -0.004261 -0.005859 0.001598 -0.011719 0.021973 1.016113
0.010 6005 0 23 0 3 3352 -0.017044 -0.009587 0.006924 -0.014160 0.034668 1.014648
0.010 6005 0 23 0 3 3303 -0.043676 -0.011185 0.012251 -0.008301 0.033691 1.011230
0.010 6005 0 23 0 3 3282 -0.030893 0.002131 0.009055 -0.001953 0.026855 1.008789
0.010 6005 0 23 0 3 3262 -0.030360 0.014381 0.010120 0.000488 0.022949 1.002930
0.010 6085 0 23 0 3 3246 0.012251 0.012783 0.005326 -0.002930 0.022461 1.007812
0.010 6085 0 23 0 3 3221 -0.005326 0.003728 -0.000533 -0.010254 0.020020 1.013184
0.010 6085 0 23 0 3 3206 -0.012251 -0.004261 0.010653 -0.015137 0.027344 1.016113
0.010 6085 0 23 0 3 3169 -0.021305 -0.017044 0.012783 -0.012695 0.030273 1.018066
0.010 6085 0 23 0 4 3126 -0.017044 -0.014381 0.010120 -0.002930 0.025391 1.008789
0.010 6085 0 23 0 3 3140 -0.027164 0.006392 0.009587 0.003906 0.025391 1.001465
0.010 6085 0 23 0 3 3128 0.015979 0.013848 0.004794 0.004883 0.021484 1.007812
0.010 6085 0 23 0 3 3103 -0.016512 0.014914 -0.006392 -0.008301 0.025879 1.012695
0.010 6085 0 23 0 3 3086 -0.012251 -0.001065 0.006924 -0.014648 0.028809 1.018555
0.010 6085 0 23 0 4 3112 -0.021838 -0.019175 0.013848 -0.016113 0.034668 1.020020
0.010 6085 0 23 0 3 3084 -0.031958 -0.017044 0.018109 -0.008789 0.025391 1.013184
0.010 6085 0 23 0 3 3093 -0.004794 0.002663 0.011185 0.003418 0.019043 1.003906
0.010 6085 0 23 0 3 3056 0.011185 0.009587 -0.000533 0.006348 0.022949 1.004395
0.010 6085 0 23 0 4 2983 -0.003196 0.014381 -0.008522 -0.007812 0.022461 1.010254
0.010 6085 0 23 0 3 2955 -0.010653 0.008522 0.011185 -0.014160 0.035156 1.017090
0.010 6085 0 23 0 3 2961 -0.028230 -0.017044 0.023968 -0.017578 0.038086 1.019043
0.010 6085 0 23 0 4 2948 -0.034621 -0.015979 0.019707 -0.006348 0.025879 1.013184
0.010 6085 0 23 0 3 2944 -0.015446 -0.001598 0.006392 0.001465 0.009277 1.003418
0.010 6085 0 23 0 4 3002 -0.025566 0.011718 -0.011718 0.002930 0.014648 1.004883
0.010 6085 0 23 0 3 2999 -0.005859 0.009055 -0.011185 -0.006836 0.019531 1.013184
0.010 6085 0 23 0 3 2998 -0.019707 0.000000 0.007457 -0.016602 0.031250 1.016113
0.010 6085 0 23 0 4 2901 -0.039415 -0.014914 0.019707 -0.010254 0.031738 1.017090
0.010 6085 0 23 0 3 2880 -0.020773 -0.011185 0.016512 -0.000488 0.021484 1.009766
0.010 6085 0 23 0 4 2862 0.010653 0.002663 0.005326 0.001953 0.014648 1.006348
0.010 6085 0 23 0 3 2868 -0.035154 0.009055 -0.014914 -0.002930 0.019531 1.010254
0.010 6085 0 23 0 4 2948 -0.002663 0.004794 -0.003196 -0.007324 0.028320 1.015137
0.010 6085 0 23 0 3 2920 -0.028230 -0.010120 0.014914 -0.016602 0.036621 1.018555
0.010 6085 0 23 0 4 2824 -0.041013 -0.011185 0.020240 -0.003906 0.029785 1.010742
0.010 6085 0 23 0 3 2793 -0.001065 -0.002663 0.011718 0.000977 0.011719 1.007324
0.010 6085 0 23 0 4 2843 -0.026099 0.012783 -0.005859 -0.002441 0.020020 1.008789
0.010 6085 0 23 0 3 2833 -0.033556 0.010653 -0.013848 -0.004395 0.020508 1.009766
0.010 6085 0 23 0 4 2897 0.011718 0.002663 0.001065 -0.007324 0.028320 1.015137
0.010 6085 0 23 0 3 2897 -0.023436 -0.011185 0.017577 -0.017090 0.035645 1.015137
0.010 6085 0 23 0 4 2778 -0.047404 -0.005859 0.020773 -0.004883 0.026367 1.009277
0.010 6085 0 23 0 3 2778 0.001598 0.000533 0.005859 -0.000488 0.007812 1.007812
0.010 6085 0 23 0 4 2813 -0.041545 0.014381 -0.010120 -0.002930 0.019531 1.010254
0.010 6085 0 23 0 3 2804 -0.030360 0.012251 -0.011718 -0.011230 0.019531 1.015625
0.010 6085 0 23 0 4 2858 -0.017044 -0.011185 0.004794 -0.016602 0.032227 1.020508
0.010 6085 0 23 0 3 2827 -0.038882 -0.006924 0.018642 -0.014160 0.031738 1.012695
0.010 6085 0 23 0 4 2767 -0.013316 -0.000533 0.019707 0.000000 0.016602 1.006836
0.010 6085 0 23 0 4 2795 0.019175 0.005326 0.001598 0.002441 0.023926 1.004395
0.010 6085 0 23 0 3 2783 -0.031958 0.012251 -0.009055 -0.004883 0.024902 1.009277
0.010 6085 0 23 0 4 2810 0.006392 -0.001065 0.007457 -0.016602 0.031738 1.015625
0.010 6085 0 23 0 3 2827 -0.031958 -0.013316 0.019707 -0.008789 0.034180 1.016602
0.010 6085 0 23 0 4 2735 -0.033023 -0.011185 0.020240 -0.001465 0.020996 1.007812
0.010 6085 0 23 0 4 2779 0.011718 -0.002663 0.001598 0.003418 0.016602 1.005859
0.010 6085 0 23 0 3 2774 -0.025566 0.010120 -0.006924 0.000977 0.021973 1.010254
0.010 6085 0 23 0 4 2789 -0.018642 0.002663 -0.003728 -0.008789 0.024902 1.014160
0.010 6085 0 23 0 3 2792 -0.016512 -0.009055 0.013316 -0.013184 0.034668 1.013184
0.010 6085 0 23 0 4 2724 -0.034621 -0.005326 0.022903 -0.006348 0.025391 1.007812
0.010 6085 0 23 0 4 2740 0.004261 0.003728 0.009587 0.001465 0.013672 1.005371
0.010 6085 0 23 0 3 2764 -0.021305 0.010653 -0.006924 -0.002441 0.020020 1.009766
0.010 6085 0 23 0 4 2792 -0.008522 0.005859 -0.003196 -0.007812 0.024414 1.018555
0.010 6085 0 23 0 4 2696 -0.022903 -0.011185 0.007457 -0.014648 0.036621 1.015625
0.010 6085 0 23 0 3 2713 -0.031425 -0.009055 0.022371 -0.005371 0.031738 1.011230
0.010 6045 0 23 0 4 2711 -0.004794 -0.003196 0.017044 -0.002441 0.017090 1.008301
0.010 6045 0 23 0 4 2774 -0.031958 0.009587 -0.009055 0.000488 0.018066 1.006836
0.010 6045 0 23 0 3 2786 -0.017577 0.007989 -0.006392 -0.006836 0.020508 1.017578
0.010 6045 0 23 0 4 2673 -0.017044 -0.010120 0.003728 -0.011230 0.032227 1.013184
0.010 6045 0 23 0 4 2719 -0.033023 -0.011185 0.015979 -0.005371 0.030273 1.011230
0.010 6045 0 23 0 3 2699 -0.011718 0.000533 0.015979 -0.003418 0.012695 1.006348
0.010 6045 0 23 0 4 2766 -0.015979 0.008522 -0.006924 -0.001465 0.020020 1.004883
0.010 6045 0 23 0 4 2691 -0.014914 0.012251 -0.002663 -0.010742 0.022949 1.013672
0.010 6045 0 23 0 3 2681 -0.021305 -0.003728 0.007457 -0.014160 0.032715 1.017578
0.010 6045 0 23 0 4 2680 -0.034621 -0.008522 0.017577 -0.010254 0.027832 1.011230
0.010 6045 0 23 0 4 2764 -0.025034 -0.008522 0.019175 -0.005859 0.027344 1.011719
0.010 6045 0 23 0 3 2763 -0.012783 0.000533 0.004794 0.000488 0.011719 1.006836
0.010 6045 0 23 0 4 2687 -0.021838 0.006392 -0.012251 -0.001953 0.018555 1.007324
0.010 6045 0 23 0 4 2658 -0.011718 0.006392 -0.004794 -0.009277 0.024414 1.015625
0.010 6045 0 23 0 3 2679 -0.022903 -0.012783 0.009055 -0.011230 0.032227 1.014648
0.010 6045 0 23 0 4 2757 -0.023436 -0.007457 0.019175 -0.007812 0.026367 1.011230
0.010 6045 0 23 0 4 2677 -0.009587 0.005859 0.013316 -0.001465 0.017578 1.006836
0.010 6045 0 23 0 4 2677 -0.036219 0.010120 -0.008522 -0.001953 0.017090 1.008789
0.010 6045 0 23 0 3 2673 -0.011185 0.005326 -0.004261 -0.011719 0.021973 1.016113
0.010 6045 0 23 0 4 2727 -0.031958 -0.013848 0.005326 -0.012207 0.034180 1.014160
0.010 6045 0 23 0 4 2649 -0.033556 -0.008522 0.015979 -0.007324 0.026367 1.010742
0.010 6045 0 23 0 3 2664 -0.011185 0.000533 0.010120 0.001465 0.014648 1.009277
0.010 6045 0 23 0 4 2674 -0.028762 0.009587 -0.007989 0.000000 0.019043 1.006348
0.010 6045 0 23 0 4 2722 -0.018642 0.006924 -0.007989 -0.008789 0.020996 1.013184
0.010 6045 0 23 0 4 2660 -0.018642 -0.006392 0.008522 -0.014648 0.030273 1.013184
0.010 0 0 0 0 3 2650 -0.029295 -0.006392 0.014914 -0.009277 0.030273 1.008301
0.010 0 0 0 0 4 2665 -0.008522 0.005859 0.008522 -0.004395 0.015137 1.007324
0.010 0 0 0 0 4 2864 -0.028762 0.015446 -0.003196 -0.007812 0.023926 1.002930
0.010 0 0 0 0 3 2948 -0.021838 0.008522 -0.003728 -0.002441 0.027344 1.015137
0.010 0 0 0 0 4 2797 0.001065 -0.004794 0.012783 -0.005371 0.030762 1.020020
0.010 0 0 0 0 3 2885 -0.056992 -0.013316 0.015446 -0.005859 0.019531 1.015625
0.010 0 0 0 0 4 3011 -0.017577 -0.007989 0.004261 -0.001465 0.006348 1.009766
0.010 0 0 0 0 3 3003 -0.012783 0.007457 -0.004261 -0.006836 0.019531 1.002930
0.010 0 0 0 0 3 3134 -0.017577 0.006392 -0.008522 -0.011230 0.018555 1.011719
0.010 0 0 0 0 3 3170 0.006392 -0.006924 0.009587 -0.012695 0.030762 1.009277
0.010 0 0 0 0 3 3255 -0.033556 -0.010120 0.018109 -0.010742 0.037598 1.014160
0.010 0 0 0 0 3 3323 -0.026632 -0.003728 0.021838 -0.001953 0.024902 1.006348
0.010 0 0 0 0 3 3399 -0.019175 0.009587 0.007989 0.000488 0.014160 1.005371
0.010 0 0 0 0 3 3484 0.007457 0.007989 -0.013316 -0.002930 0.016602 1.010742
0.010 0 0 0 0 3 3609 -0.020240 0.004261 -0.006392 -0.008789 0.024414 1.009766
0.010 0 0 0 0 2 3630 -0.022903 -0.006924 0.006924 -0.015137 0.031738 1.017090
0.010 0 0 0 0 3 3726 -0.012783 -0.013848 0.021838 -0.009766 0.034180 1.009766
0.010 0 0 0 0 3 3870 -0.044208 -0.003728 0.018642 -0.005859 0.025879 1.010254
